Abbrev,subtitle,llama
AkeelahBee,"Ladies and gentlemen, we are down to the final
two championship words. One or both of our spellers will walk away
with the first-place trophy. Dylan, you're up. ""Logorrhea."" May I have the definition, please? Logorrhea is excessive and often
incoherent talkativeness. ""Logorrhea."" L- O-G- O-R-R- H-E-A. ""Logorrhea""? Congratulations, Dylan. You've won the Scripps
National Spelling Bee. Yes! Yes! Go get 'em. Ladies and gentlemen, please be seated for Akeelah's turn. ♫ ""Pulchritude."" ""Pulchritude."" It's derived from
the Latin word <i>pulcher,</i> meaning ""beautiful"", - isn't it?
- That's correct. - P-
- U- - L-
- C- - H-
- R- - I-
- T- - U-
- D- E. ""Pulchritude."" Congratulations, Akeelah. That's what I'm talking about! <i>You know that feeling</i> <i>where everything feels right,</i> <i>where you don't have to worry
about tomorrow or yesterday,</i> <i>but you feel safe</i> <i>and know you're doing
the best you can?</i> <i>There's a word for that feeling.</i> <i>It's called love.</i> <i>L-O-V-E.</i> <i>And it's what I feel for all my family</i> <i>and all my coaches
in my neighborhood</i> <i>where I come from,</i> <i>where I learned how to spell.</i>",6
BealeStreet,"(CELL DOOR BUZZES) (PANTING) (MUTTERS):
I need to tell... (INDISTINCT CHATTER) (SIGHS) - Hey.
- Hey. Alonzo? Alonzo, we... We're gonna have a baby. TISH: <i>I should have said
already, we're not married.</i> <i>That means more to him
than it does to me,</i> <i>but I understand how he feel.</i> <i>Fonny is 22.</i> <i>I'm 19.</i> I'm glad, Fonny. I'm glad. Don't you worry. (LAUGHING) You tell my daddy? - Not yet.
- You tell your folks? Not yet, but don't worry
about them. I just wanted to tell you first. A baby. What you gonna do? I'm gonna do
just like I've been doin'. I'm gonna work up to
just about the last month and then Mama and Sis
will take care for me. You ain't got to worry. And, anyway, we'll have you
out of here before then. Are you sure about that? I'm always sure about that. I love you. I love you, too.",6
CatchMe,"(THREE-PIECE COMBO
PLAYS SOFT JAZZ) Daddy! (CHUCKLING) My son, the birdman. Some uniform, Frank. What do you think? Nice. Sit down. (CLEARS THROAT) So, Dad... Daddy, have you
gotten the postcards? Of course. This fork is ice cold. No, no, Dad, th-that's
a chilled salad fork. (WHISPERING)
It's a fancy restaurant, you know. (SIGHING) Well, here... I-I got you something. What's that? Open it. You know what those are, right? Those are the keys to a 1965 Cadillac
DeVille convertible. Brand-new, Dad. Red with white interior split seats,
air conditioning, the works. Are you giving me a Cadillac? Yeah. I'm giving you
a Cadillac. Dad, sh-she's parked
downstairs. When we're done eating lunch why don't you, you know,
drive on over to Mom's house pick her up,
take a little joyride? Do you know what would happen if the IRS found out I was driving around
in a new coupe? I took the train here, Frank. I'm taking the train home. All right. I have plenty of money. You know, if you
ever, ever need anything... You worried? About me? No, I'm not...
I'm not worried. You think I can't
buy my own car? Two mice fell in a
bucket of cream, Frank. Which one am I? You're that second mouse. I went by the store today. I had to close the
store for awhile. It's all about timing, Frank. The goddamn government
knows that. They hit you when you're down. I wasn't going to let them take it from me, so I just... shut the doors myself,
called their bluff. Sooner or later,
they'll forget about me. I understand, I... Have you told Ma? She's so stubborn, your mother. Don't worry. I'm not going to let her go
without a fight. I been fighting for us... (GASPS QUIETLY) Dad? Since the day we... we met. Daddy, out of all those men you were the one that
took her home, remember that. 200 men, sitting in
that tiny social hall watching her dance. What was the name of that town? Montrichard, Dad. Yeah. I didn't speak a word of French and six weeks later,
she was my wi... She's your wife. My son bought me
a Cadillac today. I think that calls for a toast. (SOFT JAZZ PLAYING) (INHALING DEEPLY) To the best damn pilot
in the sky. It's not what you think. I'm just a copilot. You see these people
staring at you? These are the most
powerful people in New York City and they keep peeking
over their shoulders wondering where
you're going tonight. Where you going, Frank? Dad, nobody's staring at me. Some place exotic? Just tell me where you're going. Los An... Hollywood. Hollywood. (SNIFFLES) (WHISPERING)
The rest of us... really are suckers.",6
DaysSummer,"You know what sucks? Realizing that everything you believe in
is complete and utter bullshit. - It sucks.
- What do you mean? Uh, you know, destiny,
and soul mates, and true love, and all that childhood
fairy tale nonsense. You were right.
I-I should have listened to you. No. Yeah. What?
What are you smiling at? - Tom.
- What? What are you looking at me
like that for? Well, you know, I guess it's 'cause... I was sitting in a deli
and reading Dorian Gray and... a guy comes up to me... and asked me about it, and... now he's my husband. Yeah. And... so? So, what if I'd gone to the movies? What if I had gone
somewhere else for lunch? What if I'd gotten there
10 minutes later? It was- It was meant to be. And I just kept thinking, - Tom was right.
- No. Yeah, I did. [Laughs]
I did. It just wasn't me
that you were right about. I should go. But I'm really happy to see
that you're doing well.",5
Fences,"We ain't talking about baseball! We talking about you going off
and laying up with another woman, then bringing it home to me. That's what we're talking about.
We're not talkin' about no baseball! Rose, you're not listening to me. I'm trying to explain it to you
the best way I know how. It's not easy for me to admit that I've been standing
in the same place for 18 years! Well, I've been standing with you! I've been right here with you, Troy!
I got a life, too. I gave 18 years of my life
to stand in the same spot as you! Don't you think
I ever wanted other things? Don't you think
I had dreams and hopes? What about my life? What about me? Don't you think it ever crossed my mind
to want to know other men? That I wanted to lay up somewhere
and forget about my responsibilities? That I wanted someone
to make me laugh, so I could feel good? You're not the only one
who's got wants and needs. But I held on to you, Troy. I took all my feelings,
my wants and needs and dreams, and I buried them inside you. I planted a seed
and watched and prayed over it. I planted myself inside you
and waited to bloom! And it didn't take me no 18 years
to realize the soil was hard and rocky, and it wasn't never gonna bloom! But I held on to you, Troy.
I held you tighter. You was my husband. I owed you everything I had. Every part of me I could find to give you. And upstairs in that bedroom,
with the darkness falling in on me, I gave everything I had
to try and erase the doubt that you wasn't the finest man
in the world. And wherever you was going,
I was gonna be there with you, because you was my husband. 'Cause that's the only way
I was gonna survive as your wife. You always talking about what you give
and what you don't have to give. But you take, too, Troy. You take
and don't even know nobody's giving. You say I take and don't give. Troy, you're hurting me. - Troy, you're hurting my arm, let go!
- I gave you everything I got. Don't you tell that lie on me. - Mama!
- Don't you tell that lie! Troy, you're hurting me! Troy! Troy! All right. That's strike two. You stay away from around me, boy.
Don't you strike out. You're living with a full count.",6
ForrestGump,"You died on a Saturday morning. And I had you placed
here under our tree. And I had that house of your father's
bulldozed to the ground. Mama always said that dying was a part of life. I sure wish it wasn't. Little Forrest is doing just fine. But... About to start school again soon, and I make his breakfast, lunch
and dinner every day. I make sure he combs his hair
and brushes his teeth every day. Teaching him how to play Ping-Pong. Okay. He's really good. Forrest, you go. We fish a lot. (SOBBING) And every night, we read
a book. He's so smart, Jenny. You'd be so proud of him. I am. He wrote you a letter. And he says I can't read it. I'm not supposed to,
so I'll just leave it here for you. Jenny, I don't know if Mama was right, or if it's Lieutenant Dan. I don't know if we each have a destiny, or if we're all just floating around
accidental-like on a breeze. But I think maybe it's both. Maybe both is happening
at the same time. But I miss you, Jenny. If there's anything you need,
I won't be far away.",6
GoodWill,"Hey, you know you'd be better off shoving that cigarette
up your ass. It'd probably be healthier for you. - Yeah, I know. It really gets in the way of my yoga.
- You work out, huh? - What, you lift?
- Yeah. - Uh, Nautilus?
- No, free weights. - Oh, really? - Yeah.
- Free weights, huh? - Yeah, big time. -
Yeah? - Just like that. - What do you bench?
- 285. What do you bench? You paint that? Yeah. You paint? Do you sculpt? - No.
- Do you like art? Do you like music? This is a real piece of shit. Oh. Well, tell me
what you really think. Uh, just, uh, the linear
and impressionistic mix... makes a very muddled composition. It's also a Winslow Homer rip-off, except
you got whitey, uh, rowin' the boat there. Well, it's art, Monet.
It wasn't very good. - That's not really what concerns me though.
- What concerns you? - Just the colouring.
- You know what the real bitch of it is? It's paint-by-number. Is it colour-by-number? Because
the colours are fascinating to me. - Aren't they, really? What about that?
- You bet. I think you're about one step away
from cuttin' your fuckin' ear off. - Really?
- Oh, yeah. Think I should move to the south
of France, change my name to Vincent? You ever heard the sayin',
""any port in a storm""? - Yeah.
- Yeah. Maybe that means you. In what way? - Uh, maybe you're in the middle of a storm, a big fuckin' storm.
- Yeah, maybe. The sky's fallin' on your head. The
waves are crashin' over your little boat. The oars are about to snap. You just piss in you pants.
You're cryin' for the harbour. So maybe you do
what you gotta do to get out. You know, maybe you became
a psychologist. Bingo. That's it. Let me do my job now.
You start with me. Come on. - Maybe you married the wrong woman.
- Maybe you should watch your mouth! Watch it right there, chief,
all right? Ah. Mmm, that's it, isn't it? You married the wrong woman. What happened?
What, did she leave you? Was she, you know,
banging some other guy? If you ever disrespect my wife again,
I will end you. I will fuckin' end you. Got that, chief? - Time's up.
- Yeah.",6
GreenMile,"MARJORIE:
Does it hurt yet? I hope it does. I hope it hurts like hell. John Coffey, you've been condemned to
die in the chair by a jury of your peers. Sentence imposed by a judge
in good standing in this state. Do you have anything to say
before sentence is carried out? I'm sorry for what I am. Please, boss... ...don't put that thing over my face. Don't put me in the dark. I's afraid of the dark. All right, John. [SOFTLY]
Heaven, I'm in heaven Heaven, heaven I'm in heaven Heaven, heaven I'm in heaven John Coffey... ...electricity shall pass through
your body until you are dead... ...in accordance with state law. May God have mercy on your soul. Paul. You have to say it. You have to give the order. COFFEY'S VOICE:
He killed them with they love. That's how it is every day
all over the world. Roll on two. [ELECTRICITY HUMMING]",6
KingsSpeech,"- Mr. Wood.
- Good luck, Your Majesty. Mr. Wood. - You've redecorated, Logue.
- I made it cozy. - Some fresh air.
- There you are, darling. I'm a thistle-sifter. I've a sieve of sifted thistles
and a sieve of unsifted thistles. A sieve of sifted thistles
and a sieve of unsifted thistles. - Because I'm...
- Bertie. Darling. Make sure it's not switched on. Remember, the red light
will blink four times, then I've asked them to turn it off. 'Cause we don't want that evil eye
staring at you all the way through. One minute, sir. I'm sure you'll be splendid. Forty seconds, sir. Logue. However this turns out... ...I don't know how to thank you...
for what you've done. Knighthood? Twenty seconds. Forget everything else,
and just say it to me. Say it to me as a friend. In this grave... ..hour.. ...perhaps the most fateful
in our history... ...I send... ...to every household of my... ...a-peoples... ...both at home... ...and overseas... ...this message... ...spoken with the same
depth of feeling... ...for each one of you... ...as if I were able
to cross your threshold and speak to you... myself. For the second time
in the lives of most of us... ...we are... at... Fuck, fuck, fuck! ...at war. Very good. Over and over again... ...we have tried to find... ...a peaceful way out
of the differences... ...between ourselves... ...and those... ...who are now our... enemies. But it has been... in vain. We have been forced into a conflict, for we are called
to meet the challenge of a principle, which, if it were to prevail, would be fatal to any civilized order in the world. Such a principle, stripped of all disguise, is surely the mere... ...primitive doctrine that might... ...is right. For the sake of all
that we ourselves hold dean it is unthinkable that we should refuse to meet... ...the challenge. It is to this high purpose that I now call my people at home, and my peoples across the seas, who will make our cause their own. I ask them to stand calm and firm and united in this time of trial. The task will be hard. There may be dark days ahead, and war can no longer be confined to the battlefield. But we can only do the right as we see the right, and reverently commit our cause to God. If one and all we keep resolutely faithful to it, then, with God's help, we shall... prevail.",6
LadyBird,"[sighs] Excuse me. What day is it? Sunday. Thank you. [bell tolling] - [bell tolling continues]
- [choir singing] [choir singing continues] [choir singing continues] [choir singing continues] [phone ringing] [Larry] Hi. You've reached
the McPherson family. Please leave a message.
Thank you. [beeps] Hi, Mom and Dad. It's me. Christine. It's the name you gave me.
It's a good one. Dad, this is more for Mom. Hey, Mom. Did you feel emotional the first
time that you drove in Sacramento? I did, and I wanted to tell you, but we weren't really talking
when it happened. All those bends I've
known my whole life, and stores and the whole thing. [Marion's indistinct voice] [Marion's indistinct voice
continues] But I wanted to tell you... I love you. [sighs] Thank you. I'm... Thank you. ... [inhales]",6
