Abbrev,n,start,end,subtitle,llama
AkeelahBee,1,0,1.0559999999995853,"Ladies and gentlemen,",7
AkeelahBee,2,1.1390000000001237,4.225999999999658,"we are down to the final
two championship words.",6
AkeelahBee,3,4.3090000000001965,9.730999999999767,"One or both of our spellers will walk away
with the first-place trophy.",6
AkeelahBee,4,9.8149999999996,11.315999999999804,"Dylan, you're up.",6
AkeelahBee,5,18.40599999999995,19.740999999999985,"""Logorrhea.""",2
AkeelahBee,6,19.824999999999818,22.409999999999854,"May I have the definition, please?",5
AkeelahBee,7,22.493999999999687,27.122999999999593,"Logorrhea is excessive and often
incoherent talkativeness.",2
AkeelahBee,8,33.71299999999974,35.340000000000146,"""Logorrhea.""",2
AkeelahBee,9,38.051000000000386,40.761999999999716,L-,2
AkeelahBee,10,40.84599999999955,44.47400000000016,O-G-,5
AkeelahBee,11,44.55799999999999,50.14599999999973,O-R-R-,5
AkeelahBee,12,50.22999999999956,54.19200000000001,H-E-A.,5
AkeelahBee,13,54.27599999999984,56.110999999999876,"""Logorrhea""?",5
AkeelahBee,14,56.194000000000415,57.65400000000045,"Congratulations, Dylan.",6
AkeelahBee,15,57.73700000000008,60.573999999999614,"You've won the Scripps
National Spelling Bee.",7
AkeelahBee,16,60.65700000000015,64.28600000000006,Yes! Yes!,7
AkeelahBee,17,68.62299999999959,69.875,Go get 'em.,6
AkeelahBee,18,75.17100000000028,76.92299999999977,"Ladies and gentlemen,",7
AkeelahBee,19,77.006999999999607,79.21699999999964,please be seated for Akeelah's turn.,6
AkeelahBee,20,80.55199999999968,83.51299999999992,♫,5
AkeelahBee,21,85.55699999999979,87.22500000000036,"""Pulchritude.""",6
AkeelahBee,22,88.39300000000003,90.4369999999999,"""Pulchritude.""",6
AkeelahBee,23,96.02599999999984,99.32099999999991,"It's derived from
the Latin word <i>pulcher,</i>",6
AkeelahBee,24,99.40400000000045,102.23999999999978,"meaning ""beautiful"",",6
AkeelahBee,25,102.32399999999961,104.70100000000002,"- isn't it?
- That's correct.",5
AkeelahBee,26,104.78399999999965,107.16200000000026,"- P-
- U-",5
AkeelahBee,27,107.24499999999989,108.66299999999956,"- L-
- C-",5
AkeelahBee,28,108.7470000000003,110.16499999999996,"- H-
- R-",5
AkeelahBee,29,110.24799999999959,111.58299999999963,"- I-
- T-",5
AkeelahBee,30,111.66600000000017,113.08399999999983,"- U-
- D-",5
AkeelahBee,31,113.16799999999967,114.25200000000041,E.,5
AkeelahBee,32,114.33600000000024,115.8789999999999,"""Pulchritude.""",6
AkeelahBee,33,118.92399999999998,120.17500000000018,"Congratulations, Akeelah.",7
AkeelahBee,34,125.59699999999975,126.93199999999979,That's what I'm talking about!,7
AkeelahBee,35,130.64400000000023,132.14500000000044,<i>You know that feeling</i>,5
AkeelahBee,36,132.22800000000007,133.52099999999973,"<i>where everything feels right,</i>",6
AkeelahBee,37,133.60499999999956,137.817,"<i>where you don't have to worry
about tomorrow or yesterday,</i>",6
AkeelahBee,38,137.90099999999984,140.4449999999997,<i>but you feel safe</i>,6
AkeelahBee,39,140.52800000000025,142.94800000000032,"<i>and know you're doing
the best you can?</i>",6
AkeelahBee,40,143.03099999999995,145.07499999999982,<i>There's a word for that feeling.</i>,6
AkeelahBee,41,145.15800000000036,147.32700000000023,<i>It's called love.</i>,6
AkeelahBee,42,147.40999999999985,150.82999999999993,<i>L-O-V-E.</i>,6
AkeelahBee,43,150.91399999999976,153.58299999999963,<i>And it's what I feel for all my family</i>,6
AkeelahBee,44,153.66700000000037,157.17000000000007,"<i>and all my coaches
in my neighborhood</i>",6
AkeelahBee,45,157.2529999999997,158.8800000000001,"<i>where I come from,</i>",5
AkeelahBee,46,158.96399999999994,162.46699999999964,<i>where I learned how to spell.</i>,6
BealeStreet,1,0,1.9950000000000045,(CELL DOOR BUZZES),5
BealeStreet,2,1.997000000000014,4.064999999999998,(PANTING),5
BealeStreet,3,5.36699999999999,6.431999999999988,"(MUTTERS):
I need to tell...",5
BealeStreet,4,6.4339999999999975,9.670999999999992,(INDISTINCT CHATTER),5
BealeStreet,5,17.91300000000001,19.949000000000012,(SIGHS),2
BealeStreet,6,24.620000000000005,26.85499999999999,"- Hey.
- Hey.",5
BealeStreet,7,37.264999999999986,38.766999999999996,Alonzo?,5
BealeStreet,8,42.23599999999999,44.20600000000002,"Alonzo, we...",5
BealeStreet,9,47.141999999999996,49.510999999999996,We're gonna have a baby.,6
BealeStreet,10,53.980999999999995,56.88300000000001,"TISH: <i>I should have said
already, we're not married.</i>",5
BealeStreet,11,56.88499999999999,59.25200000000001,"<i>That means more to him
than it does to me,</i>",5
BealeStreet,12,59.25399999999999,61.655,<i>but I understand how he feel.</i>,6
BealeStreet,13,61.65700000000001,63.99000000000001,<i>Fonny is 22.</i>,5
BealeStreet,14,63.99199999999999,66.025,<i>I'm 19.</i>,5
BealeStreet,15,66.02699999999999,68.79400000000001,"I'm glad, Fonny.",6
BealeStreet,16,68.79599999999999,72.13400000000001,I'm glad. Don't you worry.,6
BealeStreet,17,78.13900000000001,80.94200000000001,(LAUGHING),6
BealeStreet,18,85.68,86.88,You tell my daddy?,5
BealeStreet,19,86.882,88.981,"- Not yet.
- You tell your folks?",5
BealeStreet,20,88.983,91.25299999999999,"Not yet, but don't worry
about them.",5
BealeStreet,21,92.22000000000003,94.757,I just wanted to tell you first.,5
BealeStreet,22,97.29200000000003,99.262,A baby.,5
BealeStreet,23,107.70299999999997,110.471,What you gonna do?,5
BealeStreet,24,110.47300000000001,113.87299999999999,"I'm gonna do
just like I've been doin'.",5
BealeStreet,25,113.875,115.976,"I'm gonna work up to
just about the last month",5
BealeStreet,26,115.97800000000001,118.81400000000002,"and then Mama and Sis
will take care for me.",6
BealeStreet,27,119.781,121.916,You ain't got to worry.,6
BealeStreet,28,122.75,126.82100000000003,"And, anyway, we'll have you
out of here before then.",6
BealeStreet,29,129.824,132.06,Are you sure about that?,5
BealeStreet,30,132.92700000000002,136.598,I'm always sure about that.,6
BealeStreet,31,147.97699999999998,149.779,I love you.,7
BealeStreet,32,151.18,153.14800000000002,"I love you, too.",7
CatchMe,1,0.3829999999998108,6.054000000000087,"(THREE-PIECE COMBO
PLAYS SOFT JAZZ)",6
CatchMe,2,6.054999999999836,7.389000000000124,Daddy!,6
CatchMe,3,7.389999999999873,8.791000000000167,(CHUCKLING),6
CatchMe,4,10.193000000000211,12.19399999999996,"My son, the birdman.",6
CatchMe,5,12.195000000000164,13.228999999999814,"Some uniform, Frank.",6
CatchMe,6,13.230000000000018,15.231000000000222,What do you think?,5
CatchMe,7,15.231999999999971,16.89800000000014,Nice.,5
CatchMe,8,16.898999999999887,18.567000000000007,Sit down.,5
CatchMe,9,18.56800000000021,20.16800000000012,(CLEARS THROAT),5
CatchMe,10,21.570999999999913,23.739000000000033,"So, Dad... Daddy, have you
gotten the postcards?",5
CatchMe,11,23.73999999999978,25.072999999999865,Of course.,5
CatchMe,12,25.07400000000007,27.376000000000204,This fork is ice cold.,2
CatchMe,13,27.376999999999953,31.04599999999982,"No, no, Dad, th-that's
a chilled salad fork.",6
CatchMe,14,31.047000000000025,35.7170000000001,"(WHISPERING)
It's a fancy restaurant, you know.",6
CatchMe,15,35.71799999999985,39.08699999999999,(SIGHING),2
CatchMe,16,39.08800000000019,41.52399999999989,"Well, here...",5
CatchMe,17,41.52500000000009,43.45899999999983,I-I got you something.,5
CatchMe,18,43.460000000000036,45.19399999999996,What's that?,5
CatchMe,19,45.195000000000164,47.396000000000186,Open it.,5
CatchMe,20,51.20100000000002,53.034999999999854,"You know what those are, right?",5
CatchMe,21,53.03600000000006,55.03699999999981,Those are the keys,5
CatchMe,22,55.03800000000001,58.039999999999964,"to a 1965 Cadillac
DeVille convertible.",6
CatchMe,23,58.04100000000017,59.94200000000001,"Brand-new, Dad.",6
CatchMe,24,59.94300000000021,62.878999999999905,Red with white interior,5
CatchMe,25,62.88000000000011,67.04899999999998,"split seats,
air conditioning, the works.",6
CatchMe,26,67.05000000000018,68.31700000000001,Are you giving me a Cadillac?,6
CatchMe,27,68.31800000000021,70.05200000000013,"Yeah. I'm giving you
a Cadillac.",6
CatchMe,28,70.05299999999988,71.82099999999991,"Dad, sh-she's parked
downstairs.",6
CatchMe,29,71.82200000000012,73.38900000000012,When we're done eating lunch,5
CatchMe,30,73.38999999999987,76.29100000000017,"why don't you, you know,
drive on over to Mom's house",6
CatchMe,31,76.29199999999992,78.46000000000004,"pick her up,
take a little joyride?",6
CatchMe,32,78.46099999999979,80.26200000000017,Do you know what would happen,5
CatchMe,33,80.26299999999992,81.56399999999985,if the IRS found out,5
CatchMe,34,81.56500000000005,85.06700000000001,"I was driving around
in a new coupe?",5
CatchMe,35,85.06800000000021,87.36900000000014,"I took the train here, Frank.",6
CatchMe,36,87.36999999999989,89.73900000000003,I'm taking the train home.,5
CatchMe,37,91.4079999999999,93.44200000000001,All right.,5
CatchMe,38,98.44799999999987,101.55099999999993,I have plenty of money.,6
CatchMe,39,101.55200000000013,103.95299999999997,"You know, if you
ever, ever need anything...",6
CatchMe,40,103.95400000000018,105.28699999999981,You worried?,5
CatchMe,41,105.28800000000001,107.82299999999987,About me?,5
CatchMe,42,107.82400000000007,109.45800000000008,"No, I'm not...
I'm not worried.",5
CatchMe,43,109.45899999999983,111.89499999999998,"You think I can't
buy my own car?",5
CatchMe,44,111.89600000000019,116.46500000000015,"Two mice fell in a
bucket of cream, Frank.",6
CatchMe,45,116.4659999999999,118.33300000000008,Which one am I?,5
CatchMe,46,118.33399999999983,121.20299999999997,You're that second mouse.,5
CatchMe,47,122.83899999999994,126.47499999999991,I went by the store today.,5
CatchMe,48,126.47600000000011,128.44399999999996,"I had to close the
store for awhile.",5
CatchMe,49,128.44500000000016,130.01200000000017,"It's all about timing, Frank.",6
CatchMe,50,130.01299999999992,131.61400000000003,"The goddamn government
knows that.",2
CatchMe,51,131.61499999999978,133.21500000000015,They hit you when you're down.,2
CatchMe,52,133.2159999999999,134.58399999999983,I wasn't going to let them,5
CatchMe,53,134.58500000000004,136.15099999999984,"take it from me, so I just...",5
CatchMe,54,136.15200000000004,139.2550000000001,"shut the doors myself,
called their bluff.",6
CatchMe,55,143.82700000000023,145.9949999999999,"Sooner or later,
they'll forget about me.",2
CatchMe,56,145.9960000000001,148.42999999999984,"I understand, I...",5
CatchMe,57,148.43100000000004,151.83399999999983,Have you told Ma?,5
CatchMe,58,153.50300000000016,158.03999999999996,"She's so stubborn, your mother.",5
CatchMe,59,160.67700000000013,162.01099999999997,Don't worry.,6
CatchMe,60,162.01200000000017,164.3789999999999,"I'm not going to let her go
without a fight.",6
CatchMe,61,164.3800000000001,165.61499999999978,I been fighting for us...,5
CatchMe,62,165.61599999999999,167.2489999999998,(GASPS QUIETLY),5
CatchMe,63,168.3510000000001,170.05200000000013,Dad?,5
CatchMe,64,172.1880000000001,174.78999999999996,Since the day we... we met.,6
CatchMe,65,174.79100000000017,176.6590000000001,"Daddy, out of all those men",5
CatchMe,66,176.65999999999985,180.1289999999999,"you were the one that
took her home, remember that.",5
CatchMe,67,180.1300000000001,183.56500000000005,"200 men, sitting in
that tiny social hall",4
CatchMe,68,183.5659999999998,185.76699999999983,watching her dance.,6
CatchMe,69,188.038,190.53900000000021,What was the name of that town?,5
CatchMe,70,190.53999999999996,191.8739999999998,"Montrichard, Dad.",5
CatchMe,71,191.875,193.375,Yeah.,5
CatchMe,72,193.3760000000002,196.21099999999979,I didn't speak a word of French,5
CatchMe,73,196.212,199.6819999999998,"and six weeks later,
she was my wi...",5
CatchMe,74,199.683,202.68499999999995,She's your wife.,5
CatchMe,75,202.68600000000015,206.95600000000013,"My son bought me
a Cadillac today.",6
CatchMe,76,206.95699999999988,210.99299999999994,I think that calls for a toast.,6
CatchMe,77,210.99400000000014,212.52700000000004,(SOFT JAZZ PLAYING),6
CatchMe,78,215.49800000000005,218.567,(INHALING DEEPLY),5
CatchMe,79,218.5680000000002,221.904,"To the best damn pilot
in the sky.",6
CatchMe,80,221.9050000000002,223.60500000000002,It's not what you think.,5
CatchMe,81,223.60600000000022,226.2750000000001,I'm just a copilot.,5
CatchMe,82,226.27599999999984,229.94500000000016,"You see these people
staring at you?",5
CatchMe,83,233.08300000000008,234.91699999999992,"These are the most
powerful people",6
CatchMe,84,234.91800000000012,236.55200000000013,in New York City,5
CatchMe,85,236.55299999999988,238.8209999999999,"and they keep peeking
over their shoulders",5
CatchMe,86,238.82200000000012,240.82299999999987,"wondering where
you're going tonight.",5
CatchMe,87,240.82400000000007,242.29100000000017,"Where you going, Frank?",5
CatchMe,88,242.29199999999992,245.9949999999999,"Dad, nobody's staring at me.",6
CatchMe,89,245.9960000000001,248.36400000000003,Some place exotic?,5
CatchMe,90,250.26600000000008,253.10199999999986,Just tell me where you're going.,5
CatchMe,91,254.63700000000017,257.00599999999986,Los An... Hollywood.,5
CatchMe,92,257.00700000000006,259.674,Hollywood.,6
CatchMe,93,261.6109999999999,264.4459999999999,(SNIFFLES),5
CatchMe,94,264.4470000000001,266.6149999999998,"(WHISPERING)
The rest of us...",5
CatchMe,95,266.616,269.4839999999999,really are suckers.,2
DaysSummer,1,6,7.9799999999995634,You know what sucks?,2
DaysSummer,2,8.079999999999927,11.420000000000073,"Realizing that everything you believe in
is complete and utter bullshit.",2
DaysSummer,3,11.520000000000437,13.511000000000422,"- It sucks.
- What do you mean?",2
DaysSummer,4,13.640000000000327,17.579999999999927,"Uh, you know, destiny,
and soul mates, and true love,",5
DaysSummer,5,17.68000000000029,22.3100000000004,"and all that childhood
fairy tale nonsense.",2
DaysSummer,6,22.4399999999996,24.715000000000146,"You were right.
I-I should have listened to you.",6
DaysSummer,7,24.840000000000146,25.640000000000327,No.,2
DaysSummer,8,25.840000000000146,28.3100000000004,"Yeah. What?
What are you smiling at?",5
DaysSummer,9,29.520000000000437,31.953999999999724,"- Tom.
- What?",5
DaysSummer,10,33.64000000000033,36.38000000000011,"What are you looking at me
like that for?",5
DaysSummer,11,36.47999999999956,39.100000000000364,"Well, you know,",5
DaysSummer,12,39.19999999999982,41.38000000000011,I guess it's 'cause...,5
DaysSummer,13,41.47999999999956,44.02000000000044,"I was sitting in a deli
and reading Dorian Gray",5
